type,latitude,longitude,altitude (m),name,desc,kml_folder
T,42.331528021,-83.050828784,182.8,,,
T,42.331547110,-83.050826541,182.7,,,
T,42.331564963,-83.050826066,182.7,,,
T,42.331586595,-83.050826139,182.7,,,
T,42.331607008,-83.050826189,182.7,,,
T,42.331625216,-83.050826494,182.7,,,
T,42.331646708,-83.050826325,182.7,,,
T,42.331669464,-83.050824796,182.7,,,
T,42.331693574,-83.050822310,182.6,,,
T,42.331715525,-83.050820099,182.6,,,
T,42.331740434,-83.050820120,182.6,,,
T,42.331762383,-83.050820428,182.6,,,
T,42.331783016,-83.050820557,182.6,,,
T,42.331806271,-83.050820841,182.5,,,
T,42.331832689,-83.050822833,182.5,,,
T,42.331858924,-83.050822061,182.5,,,
T,42.331886816,-83.050821563,182.5,,,
T,42.331912628,-83.050820469,182.5,,,
T,42.331938315,-83.050820020,182.5,,,
T,42.331968986,-83.050818685,182.5,,,
T,42.331994616,-83.050818005,182.5,,,
T,42.332023662,-83.050818104,182.5,,,
T,42.332055523,-83.050815940,182.5,,,
T,42.332087252,-83.050816402,182.5,,,
T,42.332115836,-83.050816709,182.4,,,
T,42.332150652,-83.050817549,182.4,,,
T,42.332187275,-83.050816162,182.4,,,
T,42.332221296,-83.050815777,182.4,,,
T,42.332261593,-83.050816304,182.3,,,
T,42.332294220,-83.050816998,182.3,,,
T,42.332325931,-83.050817574,182.3,,,
T,42.332362424,-83.050817615,182.2,,,
T,42.332397306,-83.050817765,182.2,,,
T,42.332428183,-83.050816686,182.2,,,
T,42.332459721,-83.050815619,182.2,,,
T,42.332496981,-83.050814628,182.2,,,
T,42.332535931,-83.050813734,182.2,,,
T,42.332571054,-83.050812982,182.2,,,
T,42.332607652,-83.050812402,182.2,,,
T,42.332645778,-83.050811713,182.2,,,
T,42.332683444,-83.050812457,182.3,,,
T,42.332727102,-83.050813653,182.3,,,
T,42.332766034,-83.050813884,182.4,,,
T,42.332802648,-83.050813959,182.4,,,
T,42.332837189,-83.050813610,182.5,,,
T,42.332871733,-83.050813214,182.5,,,
T,42.332906696,-83.050812300,182.5,,,
T,42.332944072,-83.050810850,182.6,,,
T,42.332986132,-83.050811552,182.6,,,
T,42.333019491,-83.050811991,182.6,,,
T,42.333058185,-83.050811361,182.6,,,
T,42.333086946,-83.050811797,182.7,,,
T,42.333124475,-83.050812717,182.7,,,
T,42.333158170,-83.050813145,182.7,,,
T,42.333189936,-83.050812595,182.7,,,
T,42.333221236,-83.050812102,182.7,,,
T,42.333249890,-83.050811897,182.7,,,
T,42.333277323,-83.050812282,182.7,,,
T,42.333306583,-83.050813287,182.7,,,
T,42.333335910,-83.050814577,182.7,,,
T,42.333367759,-83.050815480,182.7,,,
T,42.333397567,-83.050816296,182.7,,,
T,42.333428815,-83.050816690,182.7,,,
T,42.333460903,-83.050818289,182.7,,,
T,42.333486862,-83.050819570,182.7,,,
T,42.333518418,-83.050821114,182.6,,,
T,42.333547124,-83.050822217,182.6,,,
T,42.333574438,-83.050823830,182.6,,,
T,42.333604917,-83.050825870,182.5,,,
T,42.333636326,-83.050827547,182.5,,,
T,42.333664983,-83.050827093,182.5,,,
T,42.333694049,-83.050827506,182.4,,,
T,42.333721760,-83.050827743,182.4,,,
T,42.333752689,-83.050828223,182.4,,,
T,42.333779964,-83.050827848,182.4,,,
T,42.333809585,-83.050828991,182.4,,,
T,42.333835921,-83.050828795,182.5,,,
T,42.333865874,-83.050828249,182.5,,,
T,42.333898909,-83.050827541,182.5,,,
T,42.333927923,-83.050828423,182.6,,,
T,42.333957734,-83.050829236,182.6,,,
T,42.333981147,-83.050828660,182.6,,,
T,42.334006032,-83.050829891,182.7,,,
T,42.334031443,-83.050831296,182.7,,,
T,42.334058162,-83.050830909,182.7,,,
T,42.334078399,-83.050830707,182.7,,,
T,42.334101102,-83.050831065,182.7,,,
T,42.334125041,-83.050831632,182.7,,,
T,42.334145048,-83.050832779,182.7,,,
T,42.334167950,-83.050834198,182.8,,,
T,42.334194235,-83.050835500,182.8,,,
T,42.334219218,-83.050836014,182.8,,,
T,42.334243320,-83.050836650,182.8,,,
T,42.334265450,-83.050836353,182.8,,,
T,42.334283498,-83.050835932,182.8,,,
T,42.334302697,-83.050835426,182.8,,,
T,42.334323241,-83.050836553,182.8,,,
T,42.334345011,-83.050836783,182.8,,,
T,42.334368277,-83.050838107,182.7,,,
T,42.334392456,-83.050838684,182.7,,,
T,42.334418281,-83.050839213,182.7,,,
T,42.334447276,-83.050840496,182.7,,,
T,42.334475229,-83.050840654,182.6,,,
T,42.334502487,-83.050840899,182.6,,,
T,42.334526952,-83.050838263,182.6,,,
T,42.334559026,-83.050839263,182.5,,,
T,42.334584896,-83.050840582,182.5,,,
T,42.334607945,-83.050841474,182.5,,,
T,42.334634131,-83.050842854,182.6,,,
T,42.334660191,-83.050843003,182.6,,,
T,42.334685289,-83.050843451,182.7,,,
T,42.334714385,-83.050841334,182.7,,,
T,42.334742682,-83.050841657,182.7,,,
T,42.334774076,-83.050842639,182.8,,,
T,42.334797211,-83.050844181,182.8,,,
T,42.334825114,-83.050844695,182.9,,,
T,42.334853335,-83.050843141,182.9,,,
T,42.334887963,-83.050842906,182.9,,,
T,42.334916237,-83.050842016,182.9,,,
T,42.334949324,-83.050841695,182.9,,,
T,42.334975696,-83.050840691,183.0,,,
T,42.335009802,-83.050841342,183.0,,,
T,42.335039908,-83.050839999,183.0,,,
T,42.335065978,-83.050840861,183.0,,,
T,42.335094522,-83.050843853,183.0,,,
T,42.335120928,-83.050844743,183.0,,,
T,42.335145010,-83.050846585,183.0,,,
T,42.335167889,-83.050848034,183.0,,,
T,42.335192249,-83.050849380,183.1,,,
T,42.335215922,-83.050850779,183.1,,,
T,42.335239498,-83.050851442,183.1,,,
T,42.335262743,-83.050852131,183.1,,,
T,42.335287099,-83.050852575,183.1,,,
T,42.335309969,-83.050854133,183.1,,,
T,42.335328995,-83.050853877,183.1,,,
T,42.335346995,-83.050853410,183.2,,,
T,42.335366828,-83.050855365,183.2,,,
T,42.335387000,-83.050856278,183.2,,,
T,42.335403276,-83.050857666,183.2,,,
T,42.335422565,-83.050858994,183.2,,,
T,42.335442726,-83.050858957,183.2,,,
T,42.335463268,-83.050859560,183.2,,,
T,42.335486051,-83.050860130,183.1,,,
T,42.335506446,-83.050861541,183.1,,,
T,42.335527711,-83.050861986,183.1,,,
T,42.335546427,-83.050862829,183.1,,,
T,42.335563575,-83.050864244,183.1,,,
T,42.335580669,-83.050865106,183.1,,,
T,42.335597715,-83.050865963,183.0,,,
T,42.335615125,-83.050866287,183.0,,,
T,42.335634766,-83.050867355,183.0,,,
T,42.335648501,-83.050867506,183.0,,,
T,42.335666404,-83.050868406,183.0,,,
T,42.335681883,-83.050870649,183.0,,,
T,42.335696445,-83.050868758,183.0,,,
T,42.335710638,-83.050863984,182.9,,,
T,42.335726556,-83.050856627,182.9,,,
T,42.335740306,-83.050849150,182.9,,,
T,42.335754749,-83.050838822,182.8,,,
T,42.335766887,-83.050828377,182.8,,,
T,42.335778635,-83.050815751,182.7,,,
T,42.335788376,-83.050799785,182.7,,,
T,42.335798064,-83.050779542,182.6,,,
T,42.335804357,-83.050762675,182.5,,,
T,42.335809709,-83.050748854,182.4,,,
T,42.335816345,-83.050731781,182.4,,,
T,42.335834347,-83.050688940,182.2,,,
T,42.335844789,-83.050659996,182.2,,,
T,42.335853187,-83.050631374,182.2,,,
T,42.335859132,-83.050608045,182.3,,,
T,42.335864113,-83.050584134,182.3,,,
T,42.335868930,-83.050563759,182.4,,,
T,42.335875440,-83.050541395,182.4,,,
T,42.335882789,-83.050515350,182.5,,,
T,42.335888348,-83.050493774,182.5,,,
T,42.335895550,-83.050472371,182.6,,,
T,42.335903898,-83.050452960,182.6,,,
T,42.335913777,-83.050435920,182.7,,,
T,42.335923681,-83.050422214,182.7,,,
T,42.335934124,-83.050409235,182.7,,,
T,42.335945812,-83.050396908,182.7,,,
T,42.335957949,-83.050386131,182.7,,,
T,42.335970475,-83.050379146,182.7,,,
T,42.335984928,-83.050371856,182.7,,,
T,42.335999325,-83.050365403,182.7,,,
T,42.336013721,-83.050359090,182.8,,,
T,42.336026028,-83.050355668,182.8,,,
T,42.336038452,-83.050353725,182.8,,,
T,42.336050486,-83.050351422,182.8,,,
T,42.336060863,-83.050349822,182.8,,,
T,42.336071717,-83.050349156,182.8,,,
T,42.336081367,-83.050348460,182.8,,,
T,42.336092640,-83.050347061,182.9,,,
T,42.336103389,-83.050346924,182.9,,,
T,42.336115838,-83.050345066,182.9,,,
T,42.336125877,-83.050344100,182.9,,,
T,42.336135773,-83.050343454,182.9,,,
T,42.336145377,-83.050343191,182.9,,,
T,42.336155134,-83.050343209,182.9,,,
T,42.336166372,-83.050343083,182.9,,,
T,42.336178858,-83.050343076,182.9,,,
T,42.336191448,-83.050343369,183.0,,,
T,42.336201640,-83.050344386,183.0,,,
T,42.336213248,-83.050345169,183.0,,,
T,42.336225432,-83.050346739,183.0,,,
T,42.336238883,-83.050349122,183.0,,,
T,42.336250262,-83.050351910,183.0,,,
