start_x,end_x,start_v,end_v,accel,inc,gravity,step_time
862181.193191856,862181.339999998,29.2025027672211,29.1999890364132,-0.5,-0.0887339,9.7925237,0.00502746161578216
862181.339999998,862181.890356906,29.1999890364132,29.2188308038235,1,-0.306518,9.7925218,0.0188417674103292
862181.890356906,862680.039999999,29.2188308038235,29.2188308038235,0,-0.306518,9.7925218,17.0489245937628
862680.039999999,862681.63406063,29.2188308038235,29.2733359015357,1,-0.342384,9.7925197,0.05450509771212
862681.63406063,863178.959999999,29.2733359015357,29.2733359015357,0,-0.342384,9.7925197,16.9890422137693
863178.959999999,863179.938636406,29.2733359015357,29.3067478171563,1,-0.5596817,9.7925174,0.0334119156206114
863179.938636406,863677.369999999,29.3067478171563,29.3067478171563,0,-0.5596817,9.7925174,16.9732706848412
863677.369999999,863677.927789051,29.3067478171563,29.3257744266496,1,-0.5596817,9.7925174,0.0190266094933023
863677.927789051,864175.499999999,29.3257744266496,29.3257744266496,0,-0.5596817,9.7925174,16.9670612516062
864175.499999999,864175.548785809,29.3257744266496,29.3274379607758,1,-0.6255878,9.7925151,0.00166353412624431
864175.548785809,864672.819999998,29.3274379607758,29.3274379607758,0,-0.6255878,9.7925151,16.9558355167154
864672.819999998,864673.862905038,29.3274379607758,29.3629771552882,1,-0.6255878,9.7925151,0.0355391945124239
864673.862905038,865170.889999998,29.3629771552882,29.3629771552882,0,-0.6255878,9.7925151,16.926999341105
865170.889999998,865171.65388951,29.3629771552882,29.3889810378888,1,-0.3660348,9.7925128,0.0260038826005911
865171.65388951,865676.369999998,29.3889810378888,29.3889810378888,0,-0.3660348,9.7925128,17.1736512347126
865676.369999998,865678.571659434,29.3889810378888,29.4638002524467,1,-0.3643103,9.7925104,0.0748192145578344
865678.571659434,866174.919999998,29.4638002524467,29.4638002524467,0,-0.3643103,9.7925104,16.8460394216563
866174.919999998,866175.64398653,29.4638002524467,29.4883620837073,1,-0.3643103,9.7925104,0.0245618312606624
866175.64398653,866674.119999998,29.4883620837073,29.4883620837073,0,-0.3643103,9.7925104,16.9041607686905
866674.119999998,867169.786287988,29.4883620837073,29.4883620837073,0,0.6426598,9.7925081,16.8088782477235
867169.786287988,867172.419999998,29.4883620837073,29.4436714145807,-0.5,0.2083609,9.7925058,0.0893813382533182
867172.419999998,867670.19035758,29.4436714145807,29.4436714145807,0,0.1616711,9.7925034,16.905852214332
867670.19035758,867670.259999998,29.4436714145807,29.4424887526893,-0.5,-0.3570283,9.7925011,0.00236532378266219
